ra dec no1 no2 no3 no4 no5 no6 no7 no8 no9 no10 no11 dist no12 Pcol
357.449 1.64265 4.84682 -11.6241 -17.9881 2.11894 -5.15889 25.5678 -1.13915 -0.733947 -216.466 -65.8621 192.794 25.6037 166.972 0
357.374 0.722755 5.74166 -11.3363 -17.1456 2.42786 -4.86523 24.723 -1.13404 -0.312212 -241.141 -0.618645 211.889 24.751 193.539 0
1.44237 1.68096 5.76381 -15.5153 -15.1335 2.2342 -6.17596 23.0709 0.580913 -0.677269 -224.565 -15.5336 238.694 23.0881 149.935 0
62.9564 8.69934 22.9779 -76.4502 -0.261224 3.07923 -32.7301 15.1313 29.6411 -5.09214 -104.974 32.7362 -135.351 33.6672 157.22 4
183.701 -12.7974 174.814 19.9787 61.0948 4.90967 19.7467 -56.2413 -3.63805 12.8017 86.6028 26.4213 -66.0329 57.7944 60.7407 4
161.572 -2.28594 180.516 -3.66097 66.5041 -0.536091 -3.80736 -56.5248 18.8338 2.37833 -111.409 26.7966 -78.488 59.6274 -106.406 1
359.398 1.83359 5.11929 -13.5633 -15.9682 2.05772 -5.56342 23.7091 -0.249161 -0.759043 -214.214 -68.3865 222.955 23.7226 149.189 0
258.254 11.6631 279.191 64.7676 6.05591 -5.8398 12.5532 -2.76674 -13.3061 -2.80537 140.828 50.5149 -267.449 13.8773 -272.778 4
357.281 -0.523178 6.95307 -10.9513 -16.8379 2.90721 -4.64692 24.4322 -1.16022 0.223353 -184.64 -44.1591 212.813 24.4608 134.267 0
212.916 -13.0134 179.182 48.2209 32.9722 0.370598 29.0717 -31.8861 -20.6405 8.77853 199.261 42.771 6.08845 38.9848 137.693 4
334.034 -4.6167 5.54765 12.5843 -14.1893 2.05816 4.75272 19.5482 -9.52005 1.75578 205.783 -78.5988 182.455 21.8139 -167.562 3
338.928 2.79249 359.392 6.106 -29.4533 -0.386704 3.8999 34.1719 -13.1663 -1.78624 161.668 -47.2962 220.303 36.6642 -136.81 4
357.655 0.251092 6.27685 -11.4981 -17.8974 2.73861 -5.09527 25.5397 -1.04604 -0.112019 -247.489 -59.9546 226.44 25.5613 189.507 0
224.616 -1.74803 201.81 56.9242 34.119 -10.8521 44.8479 -38.0798 -37.5734 1.63261 189.991 -17.822 76.0686 53.5211 163.62 2
350.056 3.73189 1.0796 -4.91521 -15.3035 0.420322 -1.91846 22.0075 -3.85825 -1.45736 -210.482 -35.527 244.391 22.3906 188.065 0
357.739 2.43518 4.12706 -12.0887 -17.3592 1.75771 -5.23088 24.9353 -0.984573 -1.06126 -220.559 -80.4092 212.029 24.9773 165.046 0
299.335 3.73543 345.071 43.5831 -24.7422 -8.46332 31.2659 22.1717 -39.4523 -2.95465 56.7764 -26.7413 78.8235 45.3519 19.5924 1
357.548 0.574859 5.93017 -11.4711 -16.9083 2.48349 -4.87791 24.504 -1.04921 -0.246086 -243.982 -47.3518 192.582 24.5277 194.735 0
0.931366 2.60414 4.70984 -15.232 -18.0264 2.06194 -6.83784 25.996 0.422612 -1.18251 -252.528 -57.8676 207.894 26.0263 183.63 0
359.454 4.17938 2.7794 -14.1507 -17.5352 1.19117 -6.19338 25.2651 -0.24075 -1.8463 -231.561 -55.7973 201.182 25.3336 172.463 0
359.923 2.16911 4.90817 -14.1519 -16.6486 2.03086 -5.98502 24.4618 -0.0327164 -0.926518 -200.336 -69.6386 191.504 24.4793 140.945 0
358.425 1.0177 5.70074 -12.4271 -16.3638 2.3324 -5.17423 24.0312 -0.660844 -0.427052 -246.712 -49.0762 201.089 24.0441 191.706 0
24.0453 1.63865 12.1408 -37.3914 -27.8346 7.494 -27.2345 40.9399 18.2664 -1.28249 23.1447 -64.0918 239.315 44.8484 -174.013 3
358.102 1.35887 5.28404 -12.1933 -17.25 2.24287 -5.2626 24.8958 -0.824927 -0.59088 -257.986 -55.9897 199.281 24.9164 203.964 0
358.964 -0.750239 7.59075 -12.5299 -17.4454 3.2578 -5.481 25.2577 -0.456901 0.330801 -247.531 -27.707 180.959 25.264 196.687 0
